Date,Price,Open,High,Low,Vol.,Change %
12/11/2003,653.32,645.62,653.32,643.77,1.78B,1.14%
12/10/2003,645.96,644.38,645.96,640.74,966.05M,0.23%
12/9/2003,644.46,647.7,648.01,641.22,504.58M,-0.51%
12/8/2003,647.77,635.66,647.77,633.88,733.74M,1.52%
12/5/2003,638.04,640.67,642.74,636.87,1.04B,-0.49%
12/4/2003,641.15,643.86,643.86,639.22,908.06M,-0.42%
12/3/2003,643.86,632.08,644.16,631.37,1.37B,1.60%
12/2/2003,633.73,630.77,635.91,629.52,1.21B,0.60%
12/1/2003,629.94,617.26,630.03,617.26,641.57M,2.08%
11/21/2003,617.08,605.75,617.08,603.51,515.24M,1.86%
11/20/2003,605.8,601.88,605.8,599.97,463.44M,0.64%
11/19/2003,601.94,603.72,603.72,598.74,338.79M,-0.64%
11/18/2003,605.79,607.42,607.42,602.59,415.90M,-0.33%
11/17/2003,607.79,609.68,609.68,602.93,400.06M,-0.42%
11/14/2003,610.34,614.4,614.4,608.17,564.10M,-0.70%
11/13/2003,614.64,621.63,621.63,610.94,546.52M,-0.84%
11/12/2003,619.87,617.35,621.9,615.83,653.71M,0.35%
11/11/2003,617.72,615.83,617.72,606.35,963.14M,-0.38%
11/10/2003,620.07,629.82,630.63,617.75,1.09B,-1.06%
11/7/2003,626.74,629.74,630.18,621.79,340.09M,-0.96%
11/6/2003,632.81,637.92,642.41,630.66,596.69M,-0.47%
11/5/2003,635.82,626.49,637.6,626.49,767.27M,1.49%
11/4/2003,626.49,617.28,626.49,617.28,542.34M,1.50%
11/3/2003,617.26,624.27,624.27,610.98,604.10M,-1.33%
10/31/2003,625.55,627.54,631.97,623.52,623.44M,-0.36%
10/30/2003,627.83,624.55,627.83,621.42,513.72M,0.52%
10/29/2003,624.56,626.86,629.63,617.24,845.21M,-0.37%
10/28/2003,626.86,631.19,636.2,623.09,1.18B,-0.35%
10/27/2003,629.05,634.1,634.1,624.78,541.82M,-0.87%
10/24/2003,634.57,631.84,634.57,627.29,2.24B,0.57%
10/23/2003,630.99,642.93,643.31,626.72,1.14B,-2.35%
10/22/2003,646.16,648,651.26,642.32,778.63M,-0.13%
