"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 1998","405.94","434.80","434.80","393.36","1.05B","-6.61%"
"May 03, 1998","434.65","448.51","451.92","408.13","1.80B","-3.09%"
"Apr 26, 1998","448.52","490.64","490.73","446.58","1.49B","-8.55%"
"Apr 19, 1998","490.48","507.98","510.25","487.68","2.24B","-3.43%"
"Apr 12, 1998","507.90","527.85","533.54","505.49","2.14B","-3.73%"
"Apr 05, 1998","527.59","533.49","538.08","523.37","1.47B","-1.07%"
"Mar 29, 1998","533.30","544.19","546.68","513.74","2.35B","-1.62%"
"Mar 22, 1998","542.10","516.92","550.27","493.00","4.13B","4.91%"
"Mar 15, 1998","516.73","507.58","516.73","499.14","2.98B","1.97%"
"Mar 08, 1998","506.73","521.08","521.08","482.68","2.08B","-1.07%"
"Mar 01, 1998","512.23","482.38","532.60","482.38","2.85B","6.19%"
"Feb 22, 1998","482.38","494.82","507.71","475.37","3.12B","-2.59%"
"Feb 15, 1998","495.23","458.27","500.61","453.56","2.63B","10.50%"
"Feb 08, 1998","448.16","536.04","544.22","437.98","4.08B","-16.30%"
"Feb 01, 1998","535.43","486.02","570.05","486.02","3.95B","10.18%"
"Jan 25, 1998","485.94","456.30","486.89","456.30","1.03B","7.75%"
"Jan 18, 1998","450.98","416.44","471.19","416.44","2.81B","8.95%"
"Jan 11, 1998","413.92","342.97","415.61","342.97","3.61B","20.69%"
"Jan 04, 1998","342.97","410.01","415.32","321.08","2.32B","-16.35%"
"Dec 28, 1997","410.01","396.79","410.01","392.23","1.46B","3.40%"
"Dec 21, 1997","396.53","378.80","400.93","376.10","1.42B","4.68%"
"Dec 14, 1997","378.80","365.42","381.66","335.69","2.80B","3.54%"
"Dec 07, 1997","365.85","415.81","427.89","358.25","2.15B","-11.80%"
"Nov 30, 1997","414.78","401.30","414.78","384.65","2.56B","3.25%"
"Nov 23, 1997","401.71","391.64","410.21","391.64","1.59B","2.67%"
"Nov 16, 1997","391.26","437.51","443.04","385.85","1.75B","-10.43%"
"Nov 09, 1997","436.84","466.11","466.11","433.76","1.66B","-6.28%"
"Nov 02, 1997","466.12","500.80","514.72","460.24","1.83B","-6.85%"
"Oct 26, 1997","500.42","490.54","511.67","444.30","2.38B","2.04%"
"Oct 19, 1997","490.40","520.68","520.68","486.77","1.77B","-5.82%"
"Oct 12, 1997","520.68","533.94","536.54","511.83","1.64B","-2.63%"
"Oct 05, 1997","534.75","515.19","534.75","492.47","2.16B","3.74%"
"Sep 28, 1997","515.48","549.95","553.40","506.75","1.38B","-6.26%"
"Sep 21, 1997","549.92","531.08","560.97","530.59","1.43B","3.55%"
"Sep 14, 1997","531.08","547.65","554.87","518.94","1.34B","-2.85%"
"Sep 07, 1997","546.64","598.53","615.13","544.14","2.69B","-7.99%"
"Aug 31, 1997","594.11","493.60","594.11","475.47","2.42B","20.27%"
"Aug 24, 1997","493.96","572.41","572.41","491.91","2.01B","-14.00%"
"Aug 17, 1997","574.39","617.71","617.71","565.78","2.44B","-7.01%"
"Aug 10, 1997","617.71","675.44","675.44","611.62","1.49B","-8.55%"
"Aug 03, 1997","675.44","721.25","721.90","671.75","1.47B","-6.42%"
"Jul 27, 1997","721.77","710.50","724.25","709.32","1.90B","1.65%"
"Jul 20, 1997","710.06","724.39","724.67","707.42","1.42B","-1.93%"
"Jul 13, 1997","724.00","723.69","726.49","719.52","1.10B","0.08%"
"Jul 06, 1997","723.42","736.62","742.95","721.33","1.50B","-1.79%"
"Jun 29, 1997","736.60","717.00","736.60","715.16","1.66B","2.76%"
"Jun 22, 1997","716.83","712.26","719.79","708.49","1.58B","0.65%"
"Jun 15, 1997","712.22","698.70","712.22","698.62","1.56B","1.95%"
"Jun 08, 1997","698.62","695.09","698.62","686.87","1.09B","0.52%"
"Jun 01, 1997","695.02","696.12","701.75","689.65","1.47B","-0.15%"
"May 25, 1997","696.03","658.83","699.72","658.05","1.40B","5.70%"
"May 18, 1997","658.52","657.02","658.52","650.50","747.63M","0.22%"
"May 11, 1997","657.07","675.87","677.35","654.68","1.46B","-2.47%"
"May 04, 1997","673.69","647.89","673.69","647.66","904.34M","3.98%"
"Apr 27, 1997","647.89","653.78","657.54","644.53","1.45B","-0.70%"
"Apr 20, 1997","652.48","637.59","654.20","637.59","1.13B","2.34%"
"Apr 13, 1997","637.59","637.15","637.92","630.07","717.16M","0.07%"
"Apr 06, 1997","637.15","637.43","639.15","632.75","683.61M","-0.04%"
"Mar 30, 1997","637.43","662.24","662.24","634.97","645.99M","-3.75%"
"Mar 23, 1997","662.24","656.14","662.24","646.94","792.17M","0.93%"
"Mar 16, 1997","656.11","667.31","671.70","653.98","908.64M","-1.61%"
"Mar 09, 1997","666.84","683.81","691.88","663.07","961.20M","-2.48%"
"Mar 02, 1997","683.81","705.78","706.66","679.49","1.13B","-3.06%"
"Feb 23, 1997","705.37","697.84","717.47","695.76","1.33B","1.27%"
"Feb 16, 1997","696.50","704.48","706.54","693.42","970.13M","-1.13%"
"Feb 09, 1997","704.48","694.44","710.43","694.28","648.38M","1.47%"
"Feb 02, 1997","694.28","691.12","694.28","677.14","657.02M","0.46%"
"Jan 26, 1997","691.12","679.12","695.98","678.87","1.35B","1.80%"
"Jan 19, 1997","678.91","664.22","688.48","663.97","1.66B","2.25%"
"Jan 12, 1997","663.97","658.11","664.31","654.08","1.03B","0.93%"
"Jan 05, 1997","657.87","646.25","663.04","646.25","847.25M","1.81%"
"Dec 29, 1996","646.19","637.43","646.19","634.14","205.27M","1.37%"
"Dec 22, 1996","637.43","632.80","637.43","629.12","537.22M","0.78%"
"Dec 15, 1996","632.52","624.64","635.35","621.83","958.67M","1.29%"
"Dec 08, 1996","624.46","628.12","634.58","623.16","1.60B","-0.58%"
"Dec 01, 1996","628.12","613.01","638.56","612.74","1.06B","2.46%"
"Nov 24, 1996","613.01","612.86","631.89","610.56","1.20B","0.02%"
"Nov 17, 1996","612.86","616.92","621.89","601.70","1.14B","-0.65%"
"Nov 10, 1996","616.89","602.03","616.91","591.90","665.17M","2.47%"
"Nov 03, 1996","602.02","570.66","602.65","570.61","580.56M","5.50%"
"Oct 27, 1996","570.66","571.34","571.90","565.36","439.54M","-0.12%"
"Oct 20, 1996","571.34","570.20","576.84","569.45","555.70M","0.20%"
"Oct 13, 1996","570.20","571.23","572.43","564.41","544.34M","-0.18%"
"Oct 06, 1996","571.23","588.35","591.88","563.31","532.85M","-2.91%"
"Sep 29, 1996","588.35","573.33","592.63","572.59","1.03B","2.63%"
"Sep 22, 1996","573.30","569.07","574.50","566.79","845.70M","0.76%"
"Sep 15, 1996","568.99","550.75","568.99","550.75","594.58M","3.63%"
"Sep 08, 1996","549.04","543.75","549.04","540.36","618.14M","0.97%"
"Sep 01, 1996","543.75","547.61","550.32","536.41","547.24M","-0.70%"
"Aug 25, 1996","547.61","549.40","552.91","546.56","550.32M","-0.29%"
"Aug 18, 1996","549.21","536.73","549.21","536.14","625.25M","2.33%"
"Aug 11, 1996","536.73","547.71","547.80","530.89","520.28M","-2.00%"
"Aug 04, 1996","547.71","560.96","568.77","545.45","579.91M","-2.36%"
"Jul 28, 1996","560.96","561.32","561.94","527.77","644.86M","-0.06%"
"Jul 21, 1996","561.31","580.33","582.91","560.12","793.78M","-3.23%"
"Jul 14, 1996","580.07","579.20","581.14","571.90","593.10M","0.02%"
"Jul 07, 1996","579.95","575.04","581.40","566.86","471.84M","0.85%"
"Jun 30, 1996","575.05","594.47","597.42","572.44","566.28M","-3.23%"
"Jun 23, 1996","594.26","572.98","596.61","572.98","634.00M","3.74%"
"Jun 16, 1996","572.85","592.33","596.06","569.54","356.08M","-3.29%"
"Jun 09, 1996","592.36","612.77","613.47","577.89","385.68M","-3.33%"
"Jun 02, 1996","612.77","617.43","629.86","610.58","397.49M","-0.76%"
"May 26, 1996","617.47","618.06","622.91","616.70","366.61M","-0.10%"
"May 19, 1996","618.06","621.40","621.71","613.35","343.85M","-0.54%"
"May 12, 1996","621.40","619.31","625.63","616.93","308.43M","0.34%"
"May 05, 1996","619.28","608.12","621.02","598.40","529.36M","1.84%"
"Apr 28, 1996","608.12","628.29","629.64","605.99","323.07M","-3.20%"
"Apr 21, 1996","628.24","624.53","631.41","624.17","716.04M","0.59%"
"Apr 14, 1996","624.53","607.10","625.28","607.10","562.53M","2.88%"
"Apr 07, 1996","607.05","605.09","607.05","594.92","535.30M","0.32%"
"Mar 31, 1996","605.09","585.69","605.09","585.69","424.61M","3.31%"
"Mar 24, 1996","585.71","586.02","588.92","584.20","462.38M","-0.05%"
"Mar 17, 1996","586.02","578.40","587.37","575.97","348.56M","1.60%"
"Mar 10, 1996","576.79","568.03","576.92","541.10","396.65M","1.53%"
"Mar 03, 1996","568.10","589.11","593.58","565.95","413.44M","-3.57%"
"Feb 25, 1996","589.11","593.13","601.97","580.24","402.90M","-1.08%"
"Feb 11, 1996","595.53","581.00","595.53","575.92","412.77M","2.50%"
"Feb 04, 1996","581.01","587.53","596.55","576.41","524.41M","-1.12%"
"Jan 28, 1996","587.57","566.73","587.57","563.59","530.35M","3.65%"
"Jan 21, 1996","566.86","562.35","575.27","562.35","505.57M","0.80%"
"Jan 14, 1996","562.35","551.78","566.41","551.78","341.24M","2.06%"
"Jan 07, 1996","550.99","533.28","551.15","526.30","331.41M","3.32%"
"Dec 31, 1995","533.28","513.85","534.24","510.66","182.44M","3.78%"
"Dec 24, 1995","513.85","512.81","516.24","510.57","324.65M","0.21%"
"Dec 17, 1995","512.79","492.33","513.29","488.90","254.09M","4.16%"
"Dec 10, 1995","492.33","506.91","507.94","488.42","236.62M","-2.72%"
"Dec 03, 1995","506.12","487.52","510.44","487.52","409.80M","3.99%"
"Nov 26, 1995","486.72","470.08","490.44","469.47","301.64M","3.79%"
"Nov 19, 1995","468.93","456.34","471.08","450.90","320.52M","2.76%"
"Nov 12, 1995","456.34","474.59","474.60","455.50","556.74M","-3.85%"
"Nov 05, 1995","474.59","488.32","490.64","468.26","230.08M","-2.81%"
"Oct 29, 1995","488.32","494.47","494.49","484.75","180.56M","-1.24%"
"Oct 22, 1995","494.47","500.44","500.75","493.14","169.39M","-1.19%"
"Oct 15, 1995","500.44","496.56","502.41","495.35","269.72M","0.78%"
"Oct 08, 1995","496.56","496.29","497.18","494.01","180.32M","0.05%"
"Oct 01, 1995","496.29","493.24","496.39","486.27","189.46M","0.62%"
"Sep 24, 1995","493.24","492.81","494.38","488.24","246.67M","0.09%"
"Sep 17, 1995","492.81","495.32","495.65","491.52","144.18M","-0.51%"
"Sep 10, 1995","495.32","490.00","497.45","481.96","273.05M","1.09%"
"Sep 03, 1995","490.00","502.00","502.60","489.01","164.47M","-2.35%"
"Aug 27, 1995","501.78","500.61","507.10","499.72","175.83M","0.24%"
"Aug 20, 1995","500.60","500.57","502.39","493.20","158.96M","-0.01%"
"Aug 13, 1995","500.65","519.41","519.53","498.77","146.97M","-3.57%"
"Aug 06, 1995","519.18","514.13","519.40","513.00","168.22M","1.77%"
"Jul 30, 1995","510.13","512.51","515.58","507.36","286.32M","-0.46%"
"Jul 23, 1995","512.51","511.05","512.68","502.39","136.97M","0.31%"
"Jul 16, 1995","510.93","510.78","512.56","502.23","431.38M","0.53%"
"Jul 09, 1995","508.26","509.27","512.82","506.14","231.62M","-0.17%"
"Jul 02, 1995","509.14","492.34","509.14","488.47","175.77M","3.42%"
"Jun 25, 1995","492.28","491.73","492.28","487.91","237.46M","0.13%"
"Jun 18, 1995","491.66","486.74","492.21","483.25","182.00M","1.16%"
"Jun 11, 1995","486.04","491.59","491.68","484.30","119.75M","-1.16%"
"Jun 04, 1995","491.75","496.61","499.16","488.99","195.82M","-0.28%"
"May 28, 1995","493.15","475.33","493.15","475.33","217.80M","4.11%"
"May 21, 1995","473.69","473.69","473.69","473.69","163.29M","3.27%"
"May 14, 1995","458.71","458.71","458.71","458.71","211.87M","-0.61%"
"May 07, 1995","461.53","461.53","461.53","461.53","213.76M","8.08%"
"Apr 30, 1995","427.01","427.01","427.01","427.01","136.22M","2.54%"
"Apr 23, 1995","416.45","416.45","416.45","416.45","129.36M","-0.73%"
"Apr 16, 1995","419.52","419.52","419.52","419.52","112.86M","0.02%"
"Apr 09, 1995","419.45","419.45","419.45","419.45","96.31M","-2.22%"
"Apr 02, 1995","428.99","428.99","428.99","428.99","124.56M","0.08%"
"Mar 26, 1995","428.64","428.64","428.64","428.64","112.12M","1.54%"
"Mar 19, 1995","422.13","422.13","422.13","422.13","89.24M","-1.06%"
"Mar 12, 1995","426.67","426.67","426.67","426.67","99.02M","-1.40%"
"Mar 05, 1995","432.73","432.73","432.73","432.73","106.96M","-4.45%"
"Feb 26, 1995","452.88","452.88","452.88","452.88","75.96M","-0.40%"
"Feb 19, 1995","454.69","454.69","454.69","454.69","140.30M","0.34%"
"Feb 12, 1995","453.14","453.14","453.14","453.14","367.72M","-0.04%"
"Feb 05, 1995","453.31","453.31","453.31","453.31","509.09M","1.78%"
"Jan 29, 1995","445.38","445.38","445.38","445.38","110.85M","1.88%"
"Jan 22, 1995","437.15","437.15","437.15","437.15","105.14M","-2.00%"
"Jan 15, 1995","446.08","446.08","446.08","446.08","110.15M","0.95%"
"Jan 08, 1995","441.87","441.87","441.87","441.87","221.86M","-8.18%"
"Jan 01, 1995","481.22","481.22","481.22","481.22","92.95M","2.47%"
"Dec 25, 1994","469.64","469.64","469.64","469.64","109.28M","0.62%"
"Dec 18, 1994","466.73","466.73","466.73","466.73","208.34M","1.73%"
"Dec 11, 1994","458.78","458.78","458.78","458.78","125.93M","1.04%"
"Dec 04, 1994","454.08","454.08","454.08","454.08","117.20M","-3.60%"
"Nov 27, 1994","471.05","471.05","471.05","471.05","91.26M","-3.39%"
"Nov 20, 1994","487.57","487.57","487.57","487.57","92.93M","-4.37%"
"Nov 13, 1994","509.84","509.84","509.84","509.84","75.46M","-0.69%"
"Nov 06, 1994","513.38","513.38","513.38","513.38","88.90M","-1.38%"
"Oct 30, 1994","520.59","520.59","520.59","520.59","125.70M","0.81%"
"Oct 23, 1994","516.41","516.41","516.41","516.41","109.01M","0.28%"
"Oct 16, 1994","514.97","514.97","514.97","514.97","193.45M","0.91%"
"Oct 09, 1994","510.34","510.34","510.34","510.34","109.92M","-0.91%"
"Oct 02, 1994","515.05","515.05","515.05","515.05","107.24M","3.43%"
"Sep 25, 1994","497.97","497.97","497.97","497.97","75.99M","-2.85%"
"Sep 18, 1994","512.57","512.57","512.57","512.57","115.15M","-2.48%"
"Sep 11, 1994","525.63","525.63","525.63","525.63","142.39M","-1.26%"
"Sep 04, 1994","532.36","532.36","532.36","532.36","151.13M","3.26%"
"Aug 28, 1994","515.56","515.56","515.56","515.56","139.66M","2.02%"
"Aug 21, 1994","505.33","505.33","505.33","505.33","143.76M","2.67%"
"Aug 14, 1994","492.21","492.21","492.21","492.21","115.83M","3.62%"
"Aug 07, 1994","475.00","475.00","475.00","475.00","118.03M","0.47%"
"Jul 31, 1994","472.80","472.80","472.80","472.80","112.68M","4.82%"
"Jul 24, 1994","451.08","451.08","451.08","451.08","81.76M","-1.74%"
"Jul 17, 1994","459.07","459.07","459.07","459.07","64.81M","-0.59%"
"Jul 10, 1994","461.78","461.78","461.78","461.78","81.50M","2.12%"
"Jul 03, 1994","452.20","452.20","452.20","452.20","49.85M","-1.43%"
"Jun 26, 1994","458.74","458.74","458.74","458.74","63.17M","-2.16%"
"Jun 19, 1994","468.87","468.87","468.87","468.87","45.51M","-1.61%"
"Jun 12, 1994","476.55","476.55","476.55","476.55","51.43M","-1.35%"
"Jun 05, 1994","483.05","483.05","483.05","483.05","63.64M","-0.76%"
"May 29, 1994","486.73","486.73","486.73","486.73","78.02M","-3.61%"
"May 22, 1994","504.97","504.97","504.97","504.97","109.15M","3.48%"
"May 15, 1994","487.99","487.99","487.99","487.99","119.94M","4.41%"
"May 08, 1994","467.40","467.40","467.40","467.40","58.39M","0.92%"
"May 01, 1994","463.12","463.12","463.12","463.12","96.39M","0.16%"
"Apr 24, 1994","462.40","462.40","462.40","462.40","109.85M","1.66%"
"Apr 17, 1994","454.85","454.85","454.85","454.85","83.81M","-3.77%"
"Apr 10, 1994","472.65","472.65","472.65","472.65","78.71M","1.99%"
"Apr 03, 1994","463.43","463.43","463.43","463.43","67.81M","-5.88%"
"Mar 27, 1994","492.37","492.37","492.37","492.37","117.44M","0.31%"
"Mar 20, 1994","490.84","490.84","490.84","490.84","140.59M","-3.55%"
"Mar 13, 1994","508.88","508.88","508.88","508.88","25.82M","-1.06%"
"Mar 06, 1994","514.31","514.31","514.31","514.31","62.73M","-1.36%"
"Feb 27, 1994","521.38","521.38","521.38","521.38","91.59M","-4.77%"
"Feb 20, 1994","547.51","547.51","547.51","547.51","84.10M","-1.31%"
"Feb 13, 1994","554.78","554.78","554.78","554.78","101.10M","-5.43%"
"Feb 06, 1994","586.62","586.62","586.62","586.62","98.35M","-2.53%"
"Jan 30, 1994","601.83","601.83","601.83","601.83","112.97M","1.55%"
"Jan 23, 1994","592.65","592.65","592.65","592.65","82.49M","0.40%"
"Jan 16, 1994","590.26","590.26","590.26","590.26","126.62M","2.18%"
"Jan 09, 1994","577.69","577.69","577.69","577.69","104.54M","-4.94%"
"Jan 02, 1994","607.69","607.69","607.69","607.69","171.26M","3.21%"
"Dec 26, 1993","588.77","588.77","588.77","588.77","56.21M","5.02%"
"Dec 19, 1993","560.60","560.60","560.60","560.60","111.08M","0.66%"
"Dec 12, 1993","556.95","556.95","556.95","556.95","145.81M","5.39%"
"Dec 05, 1993","528.46","528.46","528.46","528.46","114.50M","1.29%"
"Nov 28, 1993","521.73","521.73","521.73","521.73","84.99M","-0.13%"
"Nov 21, 1993","522.42","522.42","522.42","522.42","96.50M","-2.37%"
"Nov 14, 1993","535.11","535.11","535.11","535.11","139.75M","4.34%"
"Nov 07, 1993","512.87","512.87","512.87","512.87","120.57M","1.11%"
"Oct 31, 1993","507.22","507.22","507.22","507.22","116.57M","8.81%"
"Oct 24, 1993","466.15","466.15","466.15","466.15","79.04M","-0.02%"
"Oct 17, 1993","466.22","466.22","466.22","466.22","99.68M","2.50%"
"Oct 10, 1993","454.84","454.84","454.84","454.84","77.19M","3.71%"
"Oct 03, 1993","438.55","438.55","438.55","438.55","71.17M","-1.06%"
"Sep 26, 1993","443.26","443.26","443.26","443.26","153.19M","5.28%"
"Sep 19, 1993","421.04","421.04","421.04","421.04","72.79M","-2.17%"
"Sep 12, 1993","430.36","430.36","430.36","430.36","100.27M","0.55%"
"Sep 05, 1993","427.99","427.99","427.99","427.99","77.03M","2.60%"
"Aug 29, 1993","417.16","417.16","417.16","417.16","81.59M","1.83%"
"Aug 22, 1993","409.67","409.67","409.67","409.67","75.03M","5.61%"
"Aug 15, 1993","387.91","387.91","387.91","387.91","70.36M","2.10%"
"Aug 08, 1993","379.94","379.94","379.94","379.94","98.89M","4.78%"
"Aug 01, 1993","362.61","362.61","362.61","362.61","80.45M","1.65%"
"Jul 25, 1993","356.72","356.72","356.72","356.72","131.67M","0.36%"
"Jul 18, 1993","355.43","355.43","355.43","355.43","45.79M","-0.37%"
"Jul 11, 1993","356.74","356.74","356.74","356.74","51.57M","-0.81%"
"Jul 04, 1993","359.67","359.67","359.67","359.67","54.88M","-0.29%"
"Jun 27, 1993","360.72","360.72","360.72","360.72","94.64M","0.51%"
"Jun 20, 1993","358.88","358.88","358.88","358.88","70.34M","0.91%"
"Jun 13, 1993","355.64","355.64","355.64","355.64","64.47M","1.52%"
"Jun 06, 1993","350.30","350.30","350.30","350.30","68.10M","0.18%"
"May 30, 1993","349.66","349.66","349.66","349.66","84.09M","4.89%"
"May 23, 1993","333.37","333.37","333.37","333.37","94.59M","2.12%"
"May 16, 1993","326.44","326.44","326.44","326.44","42.15M","0.89%"
"May 09, 1993","323.55","323.55","323.55","323.55","40.27M","2.69%"
"May 02, 1993","315.08","315.08","315.08","315.08","28.64M","0.31%"
"Apr 25, 1993","314.10","314.10","314.10","314.10","28.45M","1.07%"
"Apr 18, 1993","310.78","310.78","310.78","310.78","42.07M","0.68%"
"Apr 11, 1993","308.68","308.68","308.68","308.68","27.42M","0.28%"
