Date,Price,Open,High,Low,Vol.,Change %
3/1/2016,4845.37,4760.24,4908.26,4757.80,83.63B,1.56%
2/1/2016,4770.96,4620.15,4803.61,4545.14,63.65B,3.38%
1/1/2016,4615.16,4580.16,4639.24,4408.80,53.14B,0.48%
12/1/2015,4593.01,4504.22,4595.51,4330.76,45.64B,3.30%
11/1/2015,4446.46,4442.42,4621.26,4395.97,59.94B,-0.20%
10/1/2015,4455.18,4231.41,4696.16,4207.80,91.85B,5.48%
9/1/2015,4223.91,4484.20,4484.79,4033.59,70.83B,-6.34%
8/1/2015,4509.61,4778.04,4868.07,4111.11,71.84B,-6.10%
7/1/2015,4802.53,4924.07,4982.91,4711.49,63.44B,-2.20%
6/1/2015,4910.66,5212.13,5215.55,4826.13,68.55B,-5.86%
5/1/2015,5216.38,5093.33,5347.13,5089.42,77.16B,2.55%
4/1/2015,5086.43,5516.80,5524.04,5015.01,90.22B,-7.83%
3/1/2015,5518.68,5452.83,5518.68,5350.47,99.82B,1.25%
2/1/2015,5450.29,5277.15,5464.22,5254.04,81.35B,3.04%
1/1/2015,5289.40,5233.80,5325.04,5121.81,110.07B,1.19%
12/1/2014,5226.95,5150.38,5226.95,5005.27,100.99B,1.50%
11/1/2014,5149.89,5102.54,5157.08,4965.39,80.04B,1.19%
10/1/2014,5089.55,5148.57,5165.39,4900.72,75.97B,-0.93%
9/1/2014,5137.58,5159.94,5262.57,5082.73,78.63B,0.01%
8/1/2014,5136.86,5076.23,5223.98,5043.52,71.65B,0.94%
7/1/2014,5088.80,4877.65,5165.42,4862.42,76.99B,4.31%
6/1/2014,4878.58,4900.97,4971.95,4835.04,59.40B,-0.31%
5/1/2014,4893.91,4845.34,5091.32,4828.22,62.43B,1.11%
4/1/2014,4840.15,4796.16,4933.11,4721.60,76.67B,1.51%
3/1/2014,4768.28,4589.62,4903.50,4567.76,87.28B,3.20%
2/1/2014,4620.22,4407.00,4665.27,4320.78,69.94B,4.56%
1/1/2014,4418.76,4294.49,4510.22,4161.19,58.07B,3.38%
12/1/2013,4274.18,4269.08,4331.59,4109.31,55.70B,0.42%
11/1/2013,4256.44,4473.73,4518.65,4202.92,63.11B,-5.64%
10/1/2013,4510.63,4314.96,4611.26,4314.96,73.04B,4.51%
9/1/2013,4316.18,4196.72,4791.77,4012.68,92.52B,2.89%
8/1/2013,4195.09,4618.96,4699.73,3837.74,66.94B,-9.01%
7/1/2013,4610.38,4757.18,4815.73,4403.80,68.43B,-4.33%
6/1/2013,4818.90,5053.55,5055.83,4373.38,83.46B,-4.93%
5/1/2013,5068.63,5020.20,5251.30,4907.60,106.72B,0.69%
4/1/2013,5034.07,4927.12,5034.07,4856.30,101.05B,1.88%
3/1/2013,4940.99,4798.49,4940.99,4721.32,112.84B,3.03%
2/1/2013,4795.79,4458.60,4795.79,4457.45,118.63B,7.68%
1/1/2013,4453.70,4322.58,4472.11,4298.61,77.87B,3.17%
12/1/2012,4316.69,4277.19,4340.26,4222.13,65.81B,0.95%
11/1/2012,4276.14,4331.75,4381.75,4255.27,70.08B,-1.70%
10/1/2012,4350.29,4249.69,4366.86,4214.52,82.85B,2.06%
9/1/2012,4262.56,4052.89,4272.83,4047.28,72.58B,4.98%
8/1/2012,4060.33,4129.81,4183.03,3978.08,48.22B,-1.98%
7/1/2012,4142.34,3976.71,4149.71,3963.47,52.12B,4.72%
6/1/2012,3955.58,3820.38,3971.09,3635.28,58.08B,3.20%
5/1/2012,3832.82,4181.09,4234.73,3810.39,61.15B,-8.32%
4/1/2012,4180.73,4121.82,4232.92,4109.32,81.51B,1.44%
3/1/2012,4121.55,3985.03,4129.33,3929.19,54.58B,3.42%
2/1/2012,3985.21,3941.78,4040.08,3838.54,69.48B,1.10%
1/1/2012,3941.69,3821.63,4038.78,3797.00,74.29B,3.13%
12/1/2011,3821.99,3715.44,3825.96,3666.25,64.21B,2.88%
11/1/2011,3715.08,3790.11,3859.10,3618.97,60.48B,-2.00%
10/1/2011,3790.85,3548.12,3875.11,3256.44,94.68B,6.81%
9/1/2011,3549.03,3842.65,4028.48,3217.95,70.66B,-7.62%
8/1/2011,3841.73,4131.73,4195.72,3590.94,104.32B,-7.00%
7/1/2011,4130.80,3888.20,4177.74,3888.20,99.08B,6.23%
6/1/2011,3888.57,3837.18,3896.16,3704.58,74.47B,1.34%
5/1/2011,3836.97,3819.80,3872.95,3760.79,118.84B,0.45%
4/1/2011,3819.62,3679.05,3824.07,3671.18,64.15B,3.83%
3/1/2011,3678.67,3470.63,3683.47,3465.61,63.72B,6.00%
2/1/2011,3470.35,3411.08,3521.63,3336.83,44.00B,1.79%
1/1/2011,3409.17,3704.44,3789.47,3309.62,68.78B,-7.95%
12/1/2010,3703.51,3530.93,3788.57,3530.93,72.00B,4.88%
11/1/2010,3531.21,3635.52,3777.92,3529.85,136.48B,-2.86%
10/1/2010,3635.32,3501.20,3667.01,3501.20,124.57B,3.83%
9/1/2010,3501.30,3081.49,3524.32,3081.49,105.06B,13.61%
8/1/2010,3081.88,3070.28,3150.16,2959.75,81.73B,0.41%
7/1/2010,3069.28,2912.88,3104.08,2860.91,82.11B,5.34%
6/1/2010,2913.68,2796.66,2981.28,2698.28,91.22B,4.17%
5/1/2010,2796.96,2971.75,2996.42,2502.05,96.97B,-5.87%
4/1/2010,2971.25,2777.70,2972.92,2777.70,105.51B,6.98%
3/1/2010,2777.30,2548.83,2818.94,2545.89,81.37B,8.96%
2/1/2010,2549.03,2610.59,2613.67,2431.84,58.48B,-2.37%
1/1/2010,2610.80,2533.95,2689.78,2532.90,82.69B,3.02%
12/1/2009,2534.36,2416.04,2542.50,2413.00,59.96B,4.91%
11/1/2009,2415.84,2365.65,2494.82,2294.56,98.86B,2.03%
10/1/2009,2367.70,2467.90,2559.67,2235.39,88.98B,-4.05%
9/1/2009,2467.59,2341.43,2482.85,2272.76,68.30B,5.38%
8/1/2009,2341.54,2323.85,2411.90,2271.21,172.85B,0.79%
7/1/2009,2323.24,2026.88,2332.76,1992.38,110.92B,14.63%
6/1/2009,2026.78,1917.45,2116.17,1888.82,166.17B,5.74%
5/1/2009,1916.83,1722.77,1941.79,1701.99,272.55B,11.26%
4/1/2009,1722.77,1434.07,1728.07,1434.09,177.35B,20.13%
3/1/2009,1434.07,1285.48,1467.52,1244.87,31.02B,11.56%
2/1/2009,1285.48,1330.02,1360.94,1281.08,32.88B,-3.54%
1/1/2009,1332.67,1377.45,1472.46,1307.53,29.21B,-1.68%
